customerID,gender,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,age,city,zip_code,city_code,Plan,bundle,index,numbering
7590-VHVEG,Female,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,37,Philadelphia,19101,215,DSL_plan_48,DSL_plan_48,1,1
5575-GNVDE,Male,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,47,San Francisco,94101,415,DSL_plan_24,DSL_plan_24,2,2
3668-QPYBK,Male,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,62,San Francisco,94101,415,DSL_plan_16,DSL_plan_16,3,3
7795-CFOCW,Male,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,39,Charlotte,28201,704,DSL_plan_20,DSL_plan_20,4,4
9237-HQITU,Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,19,Seattle,98101,206,Fiber optic_plan_64,Fiber optic_plan_64,5,5
9305-CDSKC,Female,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,57,Washington D.C.,20001,202,Fiber optic_plan_53,Fiber optic_plan_53,6,6
1452-KIOVK,Male,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,67,San Antonio,78201,210,Fiber optic_plan_46,Fiber optic_plan_46,7,7
6713-OKOMC,Female,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,63,Fort Worth,76101,817,DSL_plan_32,DSL_plan_32,8,8
7892-POOKP,Female,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,63,Houston,77001,713,Fiber optic_plan_49,Fiber optic_plan_49,9,9
6388-TABGU,Male,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,16,Charlotte,28201,704,DSL_plan_16,DSL_plan_16,10,10
9763-GRSKD,Male,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,44,Washington D.C.,20001,202,DSL_plan_32,DSL_plan_32,11,11
7469-LKBCI,Male,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,63,Dallas,75201,214,No_unknown_plan,No_unknown_plan,12,12
8091-TTVAX,Male,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,65,Houston,77001,713,Fiber optic_plan_53,Fiber optic_plan_53,13,13
0280-XJGEX,Male,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,60,San Diego,92101,858,Fiber optic_plan_37,Fiber optic_plan_37,14,14
5129-JLPIS,Male,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,57,Seattle,98101,206,Fiber optic_plan_17,Fiber optic_plan_17,15,15
3655-SNQYZ,Female,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,51,Seattle,98101,206,Fiber optic_plan_1,Fiber optic_plan_1,16,16
8191-XWSZG,Female,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,66,Philadelphia,19101,215,No_unknown_plan,No_unknown_plan,17,17
